Stores
ID,Store Name,Machine Nums,Longitude,Latitude,Business Hours,Country,Province,City,Address,Manager,Location,Phone #,Brands,Alliance,Service Type,Status
"=""2""","=""Damansara Perdana""","=""26""","=""3.16570559092447""","=""101.60583799987504""","=""24""","=""Malaysia""","=""Selangor""","=""Bandar Damansara Perdana""","=""No. 22A, 1, Jalan PJU 8/5e, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor""","=""Outlet Manager""","=""Petaling Jaya""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""3""","=""Aman Puri 1""","=""15""","=""3.21141941710796""","=""101.61630158585079""","=""24""","=""Malaysia""","=""Kuala Lumpur""","=""Desa Aman Puri""","=""20, No.2-13A-A, Block F, Kepong, 11, Jalan Desa 1/3, Desa Aman Puri, 52100 Kuala Lumpur, Selangor""","=""Outlet Manager""","=""Kepong, Damansara""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""5""","=""Mahkota Cheras""","=""22""","=""3.05303456499116""","=""101.78815083531230""","=""24""","=""Malaysia""","=""Selangor""","=""Bandar Mahkota Cheras""","=""NO. 52A, JALAN TEMANGGUNG 17/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR.""","=""Outlet Manager""","=""Cheras""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""10""","=""Bunga Kertas""","=""19""","=""3.39948541398313""","=""101.55815977880467""","=""24""","=""Malaysia""","=""Selangor""","=""Bukit Sentosa, Rawang""","=""1, NO 55, JALAN BUNGA KERTAS, 1C, SEKSYEN BS 1, Bukit Sentosa, 48300 Rawang, Selangor""","=""Outlet Manager""","=""Selangor""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""11""","=""Mutiara Damansara""","=""21""","=""3.15947382786510""","=""101.60350967662788""","=""24""","=""Malaysia""","=""Selangor""","=""Mutiara Damansara""","=""2, Jalan PJU 7/16a, Mutiara Damansara, 47800 Petaling Jaya, Selangor""","=""Outlet Manager""","=""Kepong, Damansara""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""12""","=""Damansara Jaya""","=""27""","=""3.12753093506225""","=""101.61771617935679""","=""24""","=""Malaysia""","=""Selangor""","=""Damansara Jaya""","=""No. 18 & No. 20 (Ground Floor, Jalan SS 22/25, Damansara Jaya, 47400 Petaling Jaya, Selangor""","=""Outlet Manager""","=""Petaling Jaya""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""13""","=""Sri Damansara 2""","=""18""","=""3.18672369134997""","=""101.60543749587410""","=""24""","=""Malaysia""","=""Kuala Lumpur""","=""Bandar Sri Damansara""","=""NO.34, JALAN TANJUNG SD,13/2 BANDAR SRI DAMANSARA,KEPONG 52200 KUALA LUMPUR ""","=""Outlet Manager""","=""Kepong, Damansara""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""14""","=""Subang Perdana U3""","=""21""","=""3.15047801434542""","=""101.54382309137146""","=""24""","=""Malaysia""","=""Selangor""","=""Shah Alam""","=""40, Jalan Dinar F U3/F, Taman Subang Perdana, 40150 Shah Alam, Selangor""","=""Outlet Manager""","=""Shah Alam""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""15""","=""Dataran Templer""","=""22""","=""3.25693880857878""","=""101.65812336430979""","=""24""","=""Malaysia""","=""Selangor""","=""Bandar Baru Selayang""","=""17, Jalan 2/14, Dataran Templer Bandar Baru Selayang, 68100 Selangor""","=""Outlet Manager""","=""Selangor""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""16""","=""Sri Keramat""","=""21""","=""3.17239695143791""","=""101.75084212018646""","=""24 ""","=""Malaysia""","=""Kuala Lumpur""","=""Kuala Lumpur""","=""No.25-G, Jalan AU 2a/17, Taman Sri Keramat, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur""","=""Outlet Manager""","=""Kuala Lumpur""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
"=""17""","=""Batang Kali 2""","=""15""","=""3.45918192701249""","=""101.66078416806715""","=""24""","=""Malaysia""","=""Batang Kali""","=""Selangor""","=""1, Jalan Mahagoni 2a/6, Bandar Utama, 44300 Batang Kali, Selangor""","=""Outlet Manager""","=""Selangor""","=""0362799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""18""","=""Batang Berjuntai 2""","=""19""","=""3.37926653850749""","=""101.41088919827335""","=""24""","=""Malaysia""","=""Selangor""","=""Batang Berjuntai""","=""No. 1, (Ground Floor, Jalan Berjuntai 2, Pusat Perniagaan, 45600 Batang Berjuntai, Selangor""","=""Outlet Manager""","=""Selangor""","=""0362799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""19""","=""Bukit Jelutong U8""","=""20""","=""3.11441151160666""","=""101.52641654199469""","=""24""","=""Malaysia""","=""Selangor""","=""Shah Alam""","=""11, JALAN PELAPIK B U8/B BUKIT JELUTONG, SEKSYEN, U 8, 40150 Shah Alam, Selangor""","=""Outlet Manager""","=""Shah Alam""","=""0362799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""20""","=""Aman Suria""","=""22""","=""3.12101032432800""","=""101.59696078537772""","=""24""","=""Malaysia""","=""Selangor""","=""Petaling Jaya""","=""No. E-G, 55, Jalan PJU 1/45, Aman Suria, 47301 Petaling Jaya, Selangor""","=""Outlet Manager""","=""Petaling Jaya""","=""0362799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""21""","=""Bersatu Rawang""","=""22""","=""3.31039564468335""","=""101.58239963959690""","=""24""","=""Malaysia""","=""Rawang""","=""Selangor""","=""36, Jalan Bersatu 10, TMN BERSATU, 48000 Rawang, Selangor""","=""Outlet Manager""","=""Selangor""","=""0362799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""22""","=""Cheras Batu 3""","=""28""","=""3.11419321764545""","=""101.72243786713614""","=""24""","=""Malaysia""","=""Cheras""","=""Kuala Lumpur""","=""No. 18 & 20, Jalan 5/89A, off, Jalan Sekilau, Batu 3 1/2, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur""","=""Outlet Manager""","=""Cheras""","=""0362799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""23""","=""PJCC""","=""23""","=""3.07898122212996""","=""101.62679273580561""","=""24""","=""Malaysia""","=""Petaling Jaya""","=""Selangor""","=""1G, Jalan PJS 5/30, Pusat Perdagangan PJ Selatan, 46150 Petaling Jaya, Selangor""","=""Outlet Manager""","=""Petaling Jaya""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""---""","=""Enabled"""
"=""24""","=""Bandar Baru Ampang""","=""27""","=""3.15122434413983""","=""101.76951667247195""","=""24""","=""Malaysia""","=""Kuala Lumpur""","=""Ampang""","=""30-G, GROUND FLOOR, JALAN WAWASAN AMPANG 2/4, BANDAR BARU AMPANG, 68000 AMPANG""","=""Bandar Baru Ampang""","=""Kuala Lumpur""","=""03-62799010""","=""LAUNDRYLAB""","=""---""","=""W&D""","=""Enabled"""
"=""25""","=""Saujana Rawang""","=""27""","=""3.33541572116045""","=""101.51802562921844""","=""24""","=""Malaysia""","=""Selangor""","=""Rawang""","=""G726, JALAN SR4/17 SAUJANA RAWANG, 48000 RAWANG, SELANGOR.""","=""Saujana Rawang""","=""Selangor""","=""03-62799010""","=""LAUNDRYBAR""","=""---""","=""W&D""","=""Enabled"""
